Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,40,101320,3344401239757,"Error: W:\Build\J01304449\vsh\shell\shell_core\app_installer\app_installer.cpp at 6821
"
PROCESS_OUTPUT,STREAM_STDIO,40,101320,3344401297882,"hdb.GetAppInfo() ret = 80f50005
"
PROCESS_OUTPUT,STREAM_STDIO,40,101320,3344401593751,"[ScreenShotServer]: UpdateAppInfo 662 SCE_LNC_EVENT_APP_LAUNCH_END appId=0x0b0c0f08, context=0, free=880a97d08
"
PROCESS_OUTPUT,STREAM_STDIO,37,100144,3344403145491,"[Syscore App]TRACE : W:\Build\J01304423\sys\internal\syscore\app\app_syscore_event.cpp 994 setResult()
"
PROCESS_OUTPUT,STREAM_STDIO,49,100504,3344444574679,"00:34:38.069326 gls_sns_proxy_factory.cpp                Create                          [0x18898](  54) I: FakeProxy type loca"
PROCESS_OUTPUT,STREAM_STDIO,49,100504,3344444609684,"l Created
"
PROCESS_OUTPUT,STREAM_STDIO,40,100149,3344760179507,"[SceShellCore] Libc Heap Status: free 62%, in-use 1939.0 KB, trend +36.5 KB/min, peak 1992.6 KB, when 2086 [sec]
"
PROCESS_OUTPUT,STREAM_STDIO,40,101325,3344760816024,"[ScreenShotServer]: UpdateAppInfo 637 SCE_LNC_EVENT_APP_FOCUS_END appId=0x0b0c0f08
"
PROCESS_OUTPUT,STREAM_STDIO,51,100552,3344764822856,"[VCS]changePriority() [VCS->VDEC] sceGpDecChangePriority() appId = 0xb0c0f08. priority = 1.(0:low, 1:high).
"
PROCESS_OUTPUT,STREAM_STDIO,51,100552,3344764901644,"[VCS]checkFocusStatus() [LNC->VCS] Focus Change. appType = 5(1:SHELL_UI, 4:MINI_APP, 5:BIG_APP). appId = 0xb0c0f08.
"
KERNEL_OUTPUT,STREAM_KERNEL0,0,0,3345085927967," +++ num clients 2
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3345425503138,"[MONO_DLL] start
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3348141478470,"getenv result:0
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3348141541654,"getenv result:0
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3348144542184,"getenv result:0
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3348144590968,"getenv result:0
"
PROCESS_OUTPUT,STREAM_STDIO,101,100996,3348144837350,"getenv result:0
"
PROCESS_OUTPUT,STREAM_STDIO,37,100126,3348631549350,"[mbus] onNewClient. clientNum 8 over 8
"
PROCESS_OUTPUT,STREAM_STDIO,40,100236,3348639962060,"[SceLncService] launchApp() titleId = {NPXS22010}
"
PROCESS_OUTPUT,STREAM_STDIO,40,100236,3348640405495,"[SceLncService] category = {gdg}
"
PROCESS_OUTPUT,STREAM_STDIO,40,100236,3348640440699,"[SceLncService] Launch NPXS22010, appType = {SCE_LNC_APP_TYPE_CDLG}  []
"
